
EX-99.1 2 a15-23059_1ex99d1.htm EX-99.1
,,,,,,Exhibit 99.1
CNH Equipment Trust 2015-C
"$160,000,000 Class A-1 0.40000% Asset Backed Notes due September 12, 2016"
"$129,000,000 Class A-2 1.10000% Asset Backed Notes due December 17, 2018"
"$129,000,000 Class A-2b One-Month LIBOR + 0.47% Asset Backed Notes due December 17, 2018"
"$238,000,000 Class A-3 1.660% Asset Backed Notes due November 16, 2020"
"$77,120,000 Class A-4 2.050% Asset Backed Notes due August 15, 2022"
"$16,880,000 Class B 2.400% Asset Backed Notes due February 15, 2023"
Please contact Kathy Aber at 262-636-7706 with any questions regarding this report or email abs@cnhind.com
For additional information consult http://cnhcapital.com/investor info
,Cutoff Date,,,10/31/2015
,Date Added,,7/31/2015
,Pool,Period,Pool 1,Pool 2,Pool 3,Pool 4
,Scheduled Cashflows,0,678297.97,0.00,0.00,0.00
,,1,5135024.43,0.00,0.00,0.00
,,2,10113010.14,0.00,0.00,0.00
,,3,7951202.79,0.00,0.00,0.00
,,4,5939972.70,0.00,0.00,0.00
,,5,17845273.33,0.00,0.00,0.00
,,6,35156384.37,0.00,0.00,0.00
,,7,28930556.76,0.00,0.00,0.00
,,8,34423124.77,0.00,0.00,0.00
,,9,28652666.28,0.00,0.00,0.00
,,10,6699014.24,0.00,0.00,0.00
,,11,5547854.49,0.00,0.00,0.00
,,12,6191789.64,0.00,0.00,0.00
,,13,6509577.36,0.00,0.00,0.00
,,14,9633225.40,0.00,0.00,0.00
,,15,7187992.94,0.00,0.00,0.00
,,16,5133358.47,0.00,0.00,0.00
,,17,13992922.92,0.00,0.00,0.00
,,18,31777608.74,0.00,0.00,0.00
,,19,24632599.35,0.00,0.00,0.00
,,20,29695502.88,0.00,0.00,0.00
,,21,23811661.65,0.00,0.00,0.00
,,22,5242545.47,0.00,0.00,0.00
,,23,5084006.59,0.00,0.00,0.00
,,24,5871380.46,0.00,0.00,0.00
,,25,5980379.70,0.00,0.00,0.00
,,26,8699705.75,0.00,0.00,0.00
,,27,6484136.47,0.00,0.00,0.00
,,28,4666824.56,0.00,0.00,0.00
,,29,12878075.77,0.00,0.00,0.00
,,30,30542181.65,0.00,0.00,0.00
,,31,23061909.11,0.00,0.00,0.00
,,32,27715787.96,0.00,0.00,0.00
PRO version,Are you a developer? Try out the HTML to PDF API,pdfcrowd.com
,,33,22506521.59,0.00,0.00,0.00
,,34,4700169.93,0.00,0.00,0.00
,,35,4455434.73,0.00,0.00,0.00
,,36,5376274.25,0.00,0.00,0.00
,,37,5458474.01,0.00,0.00,0.00
,,38,8084819.29,0.00,0.00,0.00
,,39,5978351.11,0.00,0.00,0.00
,,40,4173148.56,0.00,0.00,0.00
,,41,11934597.18,0.00,0.00,0.00
,,42,28207317.78,0.00,0.00,0.00
,,43,21032000.03,0.00,0.00,0.00
,,44,25395924.35,0.00,0.00,0.00
,,45,20926078.29,0.00,0.00,0.00
,,46,3914525.49,0.00,0.00,0.00
,,47,3857139.81,0.00,0.00,0.00
,,48,4700495.69,0.00,0.00,0.00
,,49,4799075.84,0.00,0.00,0.00
,,50,7272713.34,0.00,0.00,0.00
,,51,5275671.51,0.00,0.00,0.00
,,52,3582991.37,0.00,0.00,0.00
,,53,11055545.76,0.00,0.00,0.00
,,54,26364734.43,0.00,0.00,0.00
,,55,19257547.27,0.00,0.00,0.00
,,56,22757890.18,0.00,0.00,0.00
,,57,17415500.88,0.00,0.00,0.00
,,58,1022365.36,0.00,0.00,0.00
,,59,882384.50,0.00,0.00,0.00
,,60,973094.82,0.00,0.00,0.00
,,61,1076315.51,0.00,0.00,0.00
,,62,1772849.97,0.00,0.00,0.00
,,63,1180561.09,0.00,0.00,0.00
,,64,754364.22,0.00,0.00,0.00
,,65,2568025.49,0.00,0.00,0.00
,,66,4935598.06,0.00,0.00,0.00
